timestamp,open,high,low,close,volume
1546300800000,3500.00,3550.50,3480.00,3520.75,100
1546387200000,3520.75,3570.00,3510.25,3560.50,120
1546473600000,3560.50,3600.00,3540.80,3590.10,150
1546560000000,3590.10,3625.50,3580.00,3610.00,110
1546646400000,3610.00,3650.75,3600.25,3640.90,130
1546732800000,3640.90,3680.00,3630.50,3675.00,160
1546819200000,3675.00,3700.00,3650.10,3660.20,140
1546905600000,3660.20,3695.80,3630.00,3680.50,170
1546992000000,3680.50,3720.00,3670.25,3710.75,100
1547078400000,3710.75,3750.90,3700.00,3740.60,125
1547164800000,3740.60,3780.00,3730.10,3770.30,155
1547251200000,3770.30,3800.50,3750.80,3760.00,115
1547337600000,3760.00,3790.20,3720.00,3730.90,135
1547424000000,3730.90,3770.00,3700.50,3750.00,165
1547510400000,3750.00,3785.60,3740.10,3780.25,145
1547596800000,3780.25,3820.00,3770.00,3810.50,175
1547683200000,3810.50,3850.75,3800.20,3840.00,105
1547769600000,3840.00,3880.00,3830.50,3870.80,128
1547856000000,3870.80,3900.00,3850.60,3860.30,158
1547942400000,3860.30,3890.90,3820.00,3840.70,118 
